Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumCatalogPurchases,NumStorePurchases,MntTotal
58138,0,0,635,88,546,172,88,10,4,1529
46344,1,1,11,1,6,2,1,1,2,21
71613,0,0,426,49,127,111,21,2,10,734
26646,1,0,11,4,20,10,3,0,4,48
58293,1,0,173,43,118,46,27,3,6,407
62513,0,1,520,42,98,0,42,4,10,702
55635,0,1,235,65,164,50,49,3,7,563
33454,1,0,76,10,56,3,1,0,4,146
30351,1,0,14,0,24,3,3,0,2,44
5648,1,1,28,0,6,1,1,0,0,36
7500,0,0,6,16,11,11,1,0,3,45
63033,0,0,194,61,480,225,112,4,8,1072
59354,1,1,233,2,53,3,5,1,5,296
17323,0,0,3,14,17,6,1,0,3,41
82800,0,0,1006,22,115,59,68,6,12,1270
41850,1,1,53,5,19,2,13,0,3,92
37760,0,0,84,5,38,150,12,1,6,289
76995,0,1,1012,80,498,0,16,4,9,1606
33812,1,0,4,17,19,30,24,1,3,94
37040,0,0,86,2,73,69,38,2,5,268
2447,1,0,1,1,1725,1,1,28,0,1729
58607,0,1,867,0,86,0,0,3,9,953
65324,0,1,384,0,102,21,32,2,9,539
40689,0,1,270,3,27,39,6,1,5,345
18589,0,0,6,4,25,15,12,1,3,62
53359,1,1,173,4,30,3,6,1,4,216
38360,1,0,36,2,42,20,21,1,4,121
84618,0,0,684,100,801,21,66,9,10,1672
10979,0,0,8,4,10,2,2,0,3,26
38620,0,0,112,17,44,34,22,5,3,229
40548,0,1,110,0,5,2,0,1,4,117
46610,0,2,96,12,96,33,22,1,6,259
68657,0,0,482,34,471,119,68,5,9,1174
49389,1,1,40,0,19,2,1,0,3,62
67353,0,1,702,17,151,0,8,6,12,878
23718,1,0,6,3,14,15,7,1,2,45
42429,0,1,55,0,6,2,0,1,3,63
48948,0,0,437,8,206,160,49,10,5,860
80011,0,1,421,76,536,82,178,6,5,1293
20559,1,0,13,1,29,3,0,0,3,46
21994,0,1,9,0,6,3,1,0,3,19
7500,1,0,3,1,10,3,2,0,3,19
79941,0,0,123,164,266,227,30,4,9,810
7500,0,0,3,18,14,15,22,1,3,72
41728,1,0,13,6,15,3,5,0,2,42
72550,1,1,826,50,317,50,38,2,12,1281
65486,0,1,245,19,125,37,67,2,10,493
79143,0,0,650,37,780,27,167,9,13,1661
35790,1,0,12,6,20,30,1,0,3,69
82582,0,0,510,120,550,156,40,9,7,1376
66373,1,1,328,9,124,12,24,2,10,497
82384,0,0,984,51,432,180,120,10,13,1767
70287,0,0,295,35,482,121,120,5,10,1053
27938,1,0,13,0,8,2,1,0,4,24
55954,0,1,447,0,28,0,0,2,6,475
75777,0,0,712,26,538,69,13,6,11,1358
66653,1,1,452,18,102,16,18,2,12,606
61823,0,1,523,7,134,37,14,2,10,715
67680,0,1,546,0,48,0,6,3,8,600
70666,0,0,398,40,367,119,122,4,4,1046
25721,1,0,1,3,6,3,6,1,2,19
32474,1,1,10,0,1,0,0,0,2,11
88194,0,1,688,14,309,201,24,10,10,1236
69096,0,1,247,49,159,7,82,2,10,544
74854,1,2,856,59,487,58,29,5,5,1489
66991,0,0,496,36,460,189,60,8,6,1241
65031,0,1,258,107,291,84,37,3,13,777
60631,1,1,565,6,65,0,6,2,8,642
28332,0,0,14,10,13,4,15,1,4,56
40246,1,0,2,1,6,2,1,0,2,12
75251,0,0,721,111,925,97,18,6,5,1872
75825,0,0,1032,105,779,137,105,8,9,2158
26326,0,0,1,0,5,0,3,0,3,9
56046,0,0,577,0,64,0,0,1,8,641
29760,1,0,64,4,68,7,5,1,4,148
26304,1,0,4,1,5,2,0,0,2,12
23559,1,0,25,5,19,7,0,0,3,56
38620,0,0,112,17,44,34,22,5,3,229
81361,0,0,163,23,424,27,65,10,13,702
29440,1,1,17,8,14,10,4,0,4,53
36138,1,1,130,0,16,0,0,1,4,146
50388,0,1,292,6,37,0,3,1,6,338
79593,0,0,350,60,568,110,133,6,7,1221
54178,0,1,135,9,39,4,0,2,5,187
42394,1,0,15,2,10,0,1,0,3,28
23626,1,0,27,2,14,0,0,1,3,43
30096,1,0,5,3,11,12,5,0,3,36
47916,0,1,505,0,26,0,0,4,6,531
51813,1,1,51,2,7,0,1,0,3,61
78497,0,0,207,26,447,75,0,7,12,755
50150,0,0,135,46,92,65,61,2,7,399
47823,0,1,53,1,5,2,1,0,3,62
34554,0,1,41,1,6,2,0,0,3,50
85693,0,1,386,172,183,185,132,5,11,1058
65846,0,0,562,81,276,80,40,3,6,1039
87195,0,0,217,76,690,50,26,11,5,1059
24594,1,0,1,3,6,10,0,0,3,20
49096,1,1,144,1,32,2,1,1,4,180
52413,0,2,295,106,271,75,98,4,12,845
38557,1,0,76,3,31,4,4,1,3,118
89058,0,0,454,194,106,31,22,4,4,807
77298,0,1,425,115,292,23,35,6,11,890
68126,0,0,1332,17,311,23,51,4,5,1734
57288,0,1,527,0,21,0,0,1,8,548
86037,0,0,490,44,125,29,20,7,11,708
43974,1,0,378,0,101,0,0,4,6,479
50785,1,1,64,1,21,0,1,1,3,87
90765,0,0,547,99,812,151,82,6,5,1691
36550,1,0,47,90,94,123,103,1,5,457
30753,1,1,12,5,25,0,9,1,3,51
21918,1,0,1,6,7,11,5,0,3,30
56129,0,1,320,48,133,39,72,2,10,612
32557,1,0,34,3,29,0,4,1,3,70
19510,2,0,9,0,7,3,4,0,3,23
30992,1,0,17,0,14,7,3,0,3,41
101970,0,0,722,27,102,44,72,8,13,967
71488,0,0,162,33,124,40,28,4,7,387
79607,0,0,450,133,951,173,0,6,6,1707
54348,1,1,70,0,16,0,0,0,4,86
77376,1,1,492,19,110,16,12,3,10,649
62998,0,1,120,58,73,65,89,4,5,405
61331,1,1,534,5,47,0,5,1,6,591
73448,0,0,236,106,189,23,41,2,9,595
41551,1,1,220,0,33,3,0,1,5,256
62981,0,0,796,14,590,38,44,5,13,1482
9548,1,0,0,1,3,10,6,0,3,20
33762,2,1,53,1,34,2,0,2,2,90
35860,1,1,15,0,8,4,2,1,2,29
36921,1,1,17,1,12,3,1,0,3,34
92859,0,0,962,61,921,52,61,4,12,2057
65104,0,1,738,0,232,13,20,5,7,1003
86111,0,0,399,28,756,36,40,7,10,1259
68352,0,1,614,16,132,43,33,5,9,838
41883,1,0,32,34,41,73,16,2,3,196
59809,0,2,598,16,141,32,41,3,6,828
23957,1,0,2,1,18,20,11,0,3,52
38547,1,0,6,1,10,0,1,0,2,18
35688,2,1,73,3,90,12,1,1,4,179
49605,0,0,42,16,29,12,20,1,4,119
59354,0,2,295,21,78,39,13,4,7,446
65747,0,1,346,17,48,23,13,1,6,447
46344,0,1,233,20,57,8,20,1,5,338
34176,1,0,5,7,24,19,14,0,4,69
61010,0,1,888,0,57,0,0,5,11,945
69372,0,0,997,26,269,34,13,4,6,1339
49967,0,1,212,6,69,4,12,1,5,303
60199,1,2,8,1,7,2,0,0,3,18
55375,0,1,42,11,57,10,28,1,6,148
80317,0,0,536,11,387,149,91,4,10,1174
30523,2,1,5,0,3,0,0,0,2,8
70356,0,0,1349,16,249,43,16,6,9,1673
23228,1,0,53,3,49,7,4,0,4,116
74165,0,0,1001,12,240,16,12,4,10,1281
43482,2,1,18,1,32,6,3,0,4,60
62551,0,0,125,16,98,134,21,7,4,394
52332,0,0,212,5,33,7,0,2,6,257
66951,0,0,277,162,305,173,76,4,7,993
26091,1,1,15,10,19,8,17,1,3,69
33456,1,1,7,3,10,8,1,0,3,29
28718,1,0,12,4,6,11,8,0,3,41
50447,2,0,85,7,24,2,3,1,3,121
53537,1,1,81,0,6,0,0,1,3,87
52074,0,1,59,0,12,0,0,2,2,71
80427,0,1,1149,71,449,69,71,8,8,1809
83837,0,0,847,66,119,86,89,10,5,1207
38853,1,1,29,0,14,0,0,0,3,43
38285,2,1,2,0,5,2,0,0,3,9
78497,0,0,207,26,447,75,0,7,12,755
51650,0,1,152,3,22,2,5,1,4,184
16248,1,0,12,11,10,3,12,1,3,48
66835,0,0,620,26,195,34,17,4,13,892
30477,1,0,47,1,6,0,0,1,3,54
28249,0,0,1,9,7,2,14,0,3,33
25271,1,0,10,1,18,10,4,1,2,43
32303,0,1,35,0,2,0,0,0,4,37
61286,0,1,356,0,107,19,9,1,8,491
74068,0,0,783,30,537,140,76,10,9,1566
45759,1,1,42,1,18,3,0,0,3,64
24882,1,0,1,4,10,29,0,1,2,44
66973,0,0,466,22,432,147,113,7,12,1180
38872,1,0,23,3,21,3,19,0,3,69
51148,1,1,235,6,45,8,9,1,6,303
31353,1,1,10,0,10,3,1,1,2,24
69661,0,0,656,16,106,32,16,3,12,826
80067,0,0,519,17,813,27,173,6,6,1549
86718,0,0,344,189,482,50,33,6,5,1098
46854,1,1,96,1,79,7,1,1,3,184
69142,0,1,448,4,34,6,4,1,7,496
75922,0,0,265,138,553,224,23,4,9,1203
63693,0,1,587,43,337,42,87,6,9,1096
102160,0,0,763,29,138,76,176,9,10,1182
40637,1,1,22,0,13,0,0,0,3,35
18890,0,0,6,4,1,7,2,1,2,20
29604,1,0,7,6,13,7,6,0,3,39
48721,1,1,81,18,113,47,13,2,5,272
44794,0,1,54,0,7,0,0,0,3,61
64497,0,1,1170,48,320,42,32,4,9,1612
46097,0,1,72,24,68,65,4,1,6,233
77972,0,0,613,22,319,33,102,6,9,1089
44377,1,1,224,0,30,0,0,1,5,254
46014,1,1,410,0,59,19,9,1,8,497
70951,0,0,239,10,554,254,87,4,9,1144
41443,1,0,171,7,171,25,19,1,5,393
52195,2,1,12,0,4,0,0,0,2,16
83790,0,0,1076,16,417,42,48,10,6,1599
